Agency,Notes,September Outreach,August Outreach ,July Outreach ,June Outreach,Updated through 8-31
WH,,,Call on APIs,,,
Agriculture,,,,Call on ODP,,
Agriculture-ERS,,,,Meeting on APIs,,
Agriculture-FNS,,,Call on APIs,,,
Commerce,,,Call on ODP,Meeting on ODP,Meeting on APIs ,
Commerce-Census,,,,Call on APIsx2,,
Commerce-NOAA,,,"Call on ODP
Meeting on ODP",,,
Defense,,,,,Meeting on ADLNET APIs,
Defense-Army Corps of Engineers,,,,Call on APIs ,,
Education,,,Call on ODPx2,,,
Education-FAFSA,,,,Meeting on APIs,,
National Science Foundation (NSF),,,Talked with Beverly Woolf. Connecting with Nancy Kaplan about open data policy,,,
Energy,,,,Phone briefing on ODP,,
Energy-NREL,,,,,,
Health & Human Services,,,,,,
Health & Human Services - CDC,,,Call on APIs,,,
Health & Human Services - NIH,,,,,Call on APIs,
Homeland Security,,,,,,
HUD,,,,,,
Interior,,,"Meeting on APIs, Meeting on ODPx3",Meeting on ODP x4,,
Justice,,,,Meeting on APIs,,
Justice-BJS,,,,,,
State,,,Call on ODP,,,
Transportation,,,,,,
Transportation - FHWA,,,Meeting on APIs,,,
Treasury,,,,Meeting on APIs,,
Veterans Affairs,,,"Meeting on ODP x2
Call on APIs",Phone call on ODP,,
--------------------,,,,,,
Environmental Protection Agency,,,Meeting on ODP,Call on ODP ,Meeting on APIs  ,
General Services Administration,,,"Meeting on ODPx5
Meeting on APIsx2",Meeting on ODPx4,Call on APIs,
 Institute of Museum and Library Services,,,,Meeting on APIs and ODPx3,,
Millenium Challenge Corporation,,,Meeting on ODP,Meeting on ODP,,
National Archives,,,,,,
Office of the Director of National Intelligence,,,,Meeting on APIs,,
Small Business Administration,,,,,Call on APIs ,
USAID,,,,,,
,,,,,,
,,,,,,
,,,,,,
--------------------,,,,,,
State of Ohio,,,Email to State CTO and CIO,,,
